case_label,channel,L,temperature_index,temperature,energy_cell_pass,failed_locked_target
pristine_p100,xi_over_L,40,6,1.48,True,False
pristine_p100,xi_over_L,40,7,1.49,True,False
pristine_p100,xi_over_L,40,8,1.5,True,False
pristine_p100,xi_over_L,40,9,1.51,True,False
pristine_p100,xi_over_L,40,10,1.52,True,False
pristine_p100,xi_over_L,40,11,1.53,True,False
pristine_p100,xi_over_L,40,12,1.54,True,False
pristine_p100,xi_over_L,40,13,1.55,True,False
pristine_p100,xi_over_L,40,14,1.56,True,False
pristine_p100,xi_over_L,40,15,1.57,True,False
pristine_p100,xi_over_L,40,16,1.58,True,False
pristine_p100,xi_over_L,40,17,1.59,True,False
pristine_p100,xi_over_L,40,18,1.6,True,False
pristine_p100,xi_over_L,60,5,1.47,True,False
pristine_p100,xi_over_L,60,6,1.48,True,False
pristine_p100,xi_over_L,60,7,1.49,True,False
pristine_p100,xi_over_L,60,8,1.5,True,False
pristine_p100,xi_over_L,60,9,1.51,True,False
pristine_p100,xi_over_L,60,10,1.52,True,False
pristine_p100,xi_over_L,60,11,1.53,True,False
pristine_p100,xi_over_L,60,12,1.54,True,False
pristine_p100,xi_over_L,60,13,1.55,True,False
pristine_p100,xi_over_L,60,14,1.56,True,False
pristine_p100,xi_over_L,60,15,1.57,True,False
pristine_p100,xi_over_L,80,6,1.48,True,False
pristine_p100,xi_over_L,80,7,1.49,True,False
pristine_p100,xi_over_L,80,8,1.5,True,False
pristine_p100,xi_over_L,80,9,1.51,True,False
pristine_p100,xi_over_L,80,10,1.52,True,False
pristine_p100,xi_over_L,80,11,1.53,True,False
pristine_p100,xi_over_L,80,12,1.54,True,False
pristine_p100,xi_over_L,80,13,1.55,True,False
pristine_p100,xi_over_L,100,7,1.49,True,False
pristine_p100,xi_over_L,100,8,1.5,True,False
pristine_p100,xi_over_L,100,9,1.51,True,False
pristine_p100,xi_over_L,100,10,1.52,True,False
pristine_p100,xi_over_L,100,11,1.53,True,False
pristine_p100,xi_over_L,100,12,1.54,True,False
pristine_p100,xi_over_L,100,13,1.55,False,True
pristine_p100,xi_over_L,120,8,1.5,True,False
pristine_p100,xi_over_L,120,9,1.51,True,False
pristine_p100,xi_over_L,120,10,1.52,True,False
pristine_p100,xi_over_L,120,11,1.53,True,False
pristine_p100,xi_over_L,120,12,1.54,True,False
