case_label,L,temperature,n,energy_pass_n,energy_pass_fraction,mag_pass_n,mag_pass_fraction,joint_pass_n,joint_pass_fraction,essE_min,essE_p10,essE_median,essM_min,essM_p10,essM_median,tauE_max,tauE_median,tauM_max,tauM_median,measurement_stride_min,measurement_stride_max,realization_threshold,required_pass_fraction,energy_cell_pass,joint_cell_pass,primary_mask_metric,primary_source_cell_pass
pristine_p100,80,1.55,10,10,1.0,10,1.0,10,1.0,146.49437284118937,154.9343297617246,194.90136116598148,1101.841804844206,1171.4621338865531,1288.4763027885406,34.13100382647712,25.684147223708635,4.537856503554038,3.8805526273902533,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.56,10,9,0.9,10,1.0,9,0.9,69.77304979498702,97.81022026210628,128.4481982469376,1084.7230557129699,1208.0169077471694,1336.7409387098014,71.66090653470668,38.93574733845615,4.609471490134029,3.7479940949513972,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.57,10,5,0.5,10,1.0,5,0.5,87.22477062918453,87.49835389446157,102.92165078662228,1149.7474114568583,1156.223071176713,1232.0525750609609,57.32316593019564,48.63517314677466,4.3487812628901175,4.059999796788081,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,80,1.58,10,3,0.3,10,1.0,3,0.3,46.12563674236423,54.64767645945081,85.29391386646398,924.8870553932195,987.4925991818129,1118.0643564519335,108.399587585698,58.6606321860268,5.406065498315607,4.473903362904302,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,80,1.59,10,0,0.0,10,1.0,0,0.0,49.49328244048839,56.45571554577916,67.01139530189184,900.5929519814179,906.6829838884247,1030.2530198815834,101.0238107769896,74.62889487228414,5.551897768019804,4.853186751841751,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,80,1.6,10,0,0.0,10,1.0,0,0.0,26.332588223470168,30.699846217684314,52.872487762875906,698.39869802047,806.3001419638613,874.0045699450661,189.87879040099492,94.5981518733636,7.159234423219744,5.720914955201168,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,80,1.61,10,0,0.0,10,1.0,0,0.0,25.3209392395337,34.45749397065239,56.5695471575617,638.4069785113289,638.6193316868873,731.255065707662,197.46502895095915,88.42512536294964,7.83199458699412,6.84924163407523,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,80,1.62,10,0,0.0,10,1.0,0,0.0,33.56025638313514,35.243258610495054,49.979016811828174,505.8834714793754,506.50048561411313,625.1409832679808,148.98575097038363,100.11302327097258,9.883699076742513,7.999418213547752,2,2,100.0,0.9,False,False,corrected_energy_ESS_only,False
pristine_p100,100,1.42,10,10,1.0,10,1.0,10,1.0,2807.5358152548865,2957.9756570339955,3014.1482129210176,3034.5012885699,3149.9304717761997,3353.841593199394,1.7809211810699794,1.6588663403958237,1.6477172110071507,1.490924854836424,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.43,10,10,1.0,10,1.0,10,1.0,2930.240270787784,2948.908478859649,3003.5922387545406,3016.3645914261388,3162.0806387678076,3297.932581280115,1.7063447150891038,1.6647118358304365,1.6576245504977227,1.5161015817328996,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.44,10,10,1.0,10,1.0,10,1.0,2613.9807618998093,2646.226549211859,2878.804632744364,2880.800853203408,2881.9340824066976,3197.340890910795,1.9127914301733653,1.7368405685543902,1.73562847790748,1.5643431303571633,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.45,10,10,1.0,10,1.0,10,1.0,2388.183701134886,2557.466522160567,2683.728141962635,2673.8152792119504,2843.921106047651,3048.078380761419,2.093641287989678,1.8631089532886727,1.8699870701141488,1.6403798359386599,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.46,10,10,1.0,10,1.0,10,1.0,1979.99448724542,2208.018561085931,2457.3618767498037,2544.2520191680183,2738.5935752744767,2869.1579245840676,2.525259556129386,2.0354690766505024,1.965214122787656,1.7427563543415487,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.47,10,10,1.0,10,1.0,10,1.0,2166.81715554703,2169.7454236371386,2257.3523158678354,2447.957346901512,2517.5684026989716,2700.731104154719,2.307532034809698,2.2150085990184176,2.0425192482739623,1.8514541859200344,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.48,10,10,1.0,10,1.0,10,1.0,1825.5828719122312,1899.3143954064049,2011.571454893332,2229.531617230527,2241.4085785617167,2413.583086724765,2.738851287952041,2.486183995613393,2.242623500540838,2.0717746736160185,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,100,1.49,10,10,1.0,10,1.0,10,1.0,1513.0715409258103,1566.5782201487507,1645.4603092480534,1909.3776164616172,1968.4460852927625,2122.186050262996,3.304536411371948,3.0393239172973017,2.618654349403028,2.356076071698528,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
